Recipe,
"Best Big, Fat, Chewy Chocolate Chip Cookies",
Ingredients,
Flour,1
Baking Soda,1
Salt,1
Butter,2
Brown Sugar,1
Sugar,1
Vanilla Extract,1
Egg,2
Chocolate Chips,1
Directions,
Preheat oven to 325 degrees F. Grease cookie sheets or line with parchment paper.,
"Sift together 2c. All-Purpose Flour, 1/2tsp. Baking Soda and 1/2tsp. Salt; set aside.",
"In a medium bowl, cream together 3/4c. Melted Unsalted Butter, 1c. Brown Sugar, 1/2c. Sugar until well blended.",
"Beat in the 1tbsp. Vanilla Extract, 1 Egg and 1 Egg Yolk until light and creamy.",
Mix in the sifted ingredients until just blended. ,
Stir in the chocolate chips by hand using a wooden spoon.,
"Drop cookie dough 1/4 cup at a time onto the prepared cookie sheets. Cookies should be about 3"" apart.",
"Bake for 15 to 17 minutes in the preheated oven, or until the edges are lightly toasted.",
Cool on baking sheets for a few minutes before transferring to wire racks to cool completely.,
